time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
11/17/2024 5:30,11/17/2024 8:30,Cruise Missiles,Unknown,Ukraine,2 x Tu-22M3,4,4,
11/17/2024 5:30,11/17/2024 8:30,Cruise Missile Combinations,Unknown,Ukraine,16 x Tu-95MS and 7 x Tu-160 and 4 x Navi,101,85,
11/17/2024 5:30,11/17/2024 8:30,Ballistic Missiles,Unknown,Ukraine,Unknown,1,0,
11/17/2024 5:30,11/17/2024 8:30,Hypersonic Missiles,Unknown,Ukraine,Unknown,1,1,
11/15/2024 20:30,11/16/2024 8:30,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,3,3,
11/15/2024 20:30,11/16/2024 8:30,Surface-to-Air Missiles (SAM),Unknown,Kharkiv oblast,Unknown,1,0,
11/14/2024 21:00,11/15/2024 8:30,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Odesa oblast,Unknown,29,25,
11/14/2024 21:30,11/14/2024 22:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,1,
11/13/2024 6:00,11/13/2024 8:00,Cruise Missiles,Caspian Sea,Ukraine,Tu-95MS,2,2,
11/13/2024 6:00,11/13/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Tu-95MS,2,2,
11/13/2024 6:00,11/13/2024 8:00,Surface-to-Air Missiles (SAM),Kursk oblast,Sumy oblast,Unknown,2,0,
11/11/2024 21:00,11/12/2024 11:00,Cruise Missiles,Kursk oblast,Chernihiv oblast,Unknown,2,0,
11/11/2024 21:00,11/12/2024 11:00,Surface-to-Air Missiles (SAM),Belgorod oblast,Kharkiv,Unknown,1,0,
11/10/2024 20:00,11/11/2024 9:30,Cruise Missiles,Zaporizhzhia oblast,Ukraine,Unknown,2,2,
11/7/2024 18:00,11/8/2024 9:00,Cruise Missiles,Belgorod oblast,Ukraine,Unknown,4,4,
11/7/2024 18:00,11/8/2024 9:00,Ballistic Missiles,Rostov oblast,Ukraine,Unknown,1,0,
11/8/2024,11/8/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/8/2024,11/8/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/8/2024,11/8/2024,Ballistic Missiles,Crimea,Mykolaiv oblast,Unknown,1,0,
11/7/2024,11/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
11/7/2024,11/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/7/2024,11/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/7/2024,11/7/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,10,10,
11/5/2024 20:00,11/6/2024 7:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,0,
11/5/2024 20:00,11/6/2024 7:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,1,0,
11/6/2024,11/6/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
11/6/2024,11/6/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
11/6/2024,11/6/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
11/4/2024 20:00,11/5/2024 8:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,2,
11/3/2024 19:00,11/4/2024 8:30,Ballistic Missiles,Rostov oblast,Dnipropetrovsk oblast,Unknown,1,0,
11/2/2024 17:30,11/3/2024 9:00,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,1,
11/1/2024 19:00,11/2/2024 11:00,Cruise Missiles,Belgorod oblast,Ukraine,Unknown,1,0,
11/2/2024,11/2/2024,Unknown UAV,Unknown,south,Unknown,1,1,
10/31/2024 18:00,11/1/2024 8:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,3,1,2
11/1/2024,11/1/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/1/2024,11/1/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
11/1/2024,11/1/2024,Ballistic Missiles,Unknown,Kherson,Unknown,2,0,
10/30/2024 18:30,10/31/2024 8:00,Ballistic Missiles,Rostov oblast,Kramatorsk,Unknown,2,0,
10/30/2024 18:30,10/30/2024 20:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,8,2,
10/30/2024 18:30,10/30/2024 20:30,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
10/29/2024 20:00,10/30/2024 7:00,Unknown Missile,Belgorod oblast,Sumy oblast,Unknown,1,0,
10/30/2024,10/30/2024,Unknown UAV,Unknown,south,Unknown,1,1,
10/30/2024,10/30/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
10/30/2024,10/30/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,9,9,
10/28/2024 22:00,10/29/2024 9:00,Ballistic Missiles,Crimea,Kryvyi Rih,Unknown,1,0,
10/28/2024 19:00,10/29/2024,Cruise Missiles,Black Sea,Odesa oblast,Su-30,2,0,2
10/28/2024 19:00,10/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/28/2024 19:00,10/29/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,5,5,
10/27/2024,10/27/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/27/2024,10/27/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/26/2024,10/26/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/26/2024,10/26/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,1,
10/25/2024 21:00,10/25/2024 23:00,Cruise Missiles,Bryansk oblast,Dnipro and Sumy oblast,Unknown,2,0,
10/25/2024 21:00,10/25/2024 23:00,Unknown Missile,Belgorod oblast,Dnipro and Sumy oblast,Unknown,2,0,
10/25/2024 21:00,10/25/2024 23:00,Ballistic Missiles,Crimea,Dnipro and Sumy oblast,Unknown,3,0,
10/23/2024 21:00,10/24/2024 8:30,Cruise Missiles,Bryansk oblast,east,Unknown,2,0,
10/23/2024 21:00,10/24/2024 8:30,Cruise Missiles,Unknown,south,Unknown,2,0,
10/22/2024 22:00,10/23/2024 9:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,1,0,
10/23/2024,10/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/23/2024,10/23/2024,Cruise Missiles,Unknown,south,Unknown,1,1,
10/23/2024,10/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/22/2024,10/22/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/20/2024 20:00,10/21/2024 9:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,1,0,
10/20/2024 20:00,10/21/2024 9:30,Cruise Missiles,Black Sea,Odesa oblast,Unknown,1,0,
10/20/2024 20:00,10/21/2024 9:30,Ballistic Missiles,Crimea,south,Unknown,1,0,
10/19/2024 21:00,10/20/2024 10:00,Ballistic Missiles,Crimea,Kryvyi Rih,Unknown,2,0,
10/18/2024 21:00,10/19/2024 12:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,6,4,
10/16/2024 19:30,10/17/2024 5:00,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,0,
10/15/2024 19:00,10/16/2024 7:00,Cruise Missiles,Kursk oblast,Chernihiv oblast,Unknown,1,0,
10/15/2024 19:00,10/16/2024 7:00,Surface-to-Air Missiles (SAM),Donetsk oblast,Donetsk oblast,Unknown,1,0,
10/15/2024,10/15/2024 8:00,Cruise Missiles,Kursk oblast,Chernihiv oblast and Sumy oblast,Unknown,2,0,
10/15/2024,10/15/2024 8:00,Surface-to-Air Missiles (SAM),Crimea,Mykolaiv oblast,Unknown,7,0,
10/15/2024,10/15/2024,Unknown Missile,Crimea,Mykolaiv oblast,Unknown,1,0,
10/15/2024,10/15/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/15/2024,10/15/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
10/15/2024,10/15/2024,Aerial Bomb,Unknown,Kherson oblast,Unknown,16,0,
10/14/2024,10/14/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
10/13/2024,10/13/2024 8:00,Cruise Missiles,Kursk oblast,Chernihiv oblast and Sumy oblast,Unknown,2,0,
10/13/2024,10/13/2024 8:00,Ballistic Missiles,Kursk oblast,Poltava oblast,Unknown,1,0,
10/13/2024,10/13/2024 8:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
10/12/2024,10/12/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,28,24,2
